-> EPOCH :  31 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.462 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  32 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.447 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  33 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.434 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  34 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.423 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  35 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.410 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  36 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.397 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  37 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.386 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  38 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.378 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  39 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.368 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  40 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.358 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  41 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.350 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  42 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.341 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  43 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.333 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  44 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.325 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  45 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.318 , MEAN : 0.000 , STD : 1.000
