-> EPOCH : 100 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34935.676 , KL LOSS : 32044.686 , TOTAL LOSS : 34935.676 , MEAN : 0.001 , STD : 1.494
-> EPOCH : 101 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34749.388 , KL LOSS : 42579.136 , TOTAL LOSS : 34749.388 , MEAN : 0.001 , STD : 1.496
-> EPOCH : 102 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34504.062 , KL LOSS : 37505.388 , TOTAL LOSS : 34504.062 , MEAN : 0.001 , STD : 1.495
-> EPOCH : 103 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35601.483 , KL LOSS : 38522.104 , TOTAL LOSS : 35601.483 , MEAN : 0.001 , STD : 1.494
-> EPOCH : 104 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34638.093 , KL LOSS : 33388.441 , TOTAL LOSS : 34638.093 , MEAN : 0.001 , STD : 1.493
-> EPOCH : 105 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34055.631 , KL LOSS : 111635.674 , TOTAL LOSS : 34055.631 , MEAN : 0.001 , STD : 1.493
-> EPOCH : 106 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34138.979 , KL LOSS : 100771.162 , TOTAL LOSS : 34138.979 , MEAN : 0.002 , STD : 1.493
-> EPOCH : 107 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34619.093 , KL LOSS : 66360.401 , TOTAL LOSS : 34619.093 , MEAN : 0.002 , STD : 1.493
-> EPOCH : 108 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34939.732 , KL LOSS : 49834.406 , TOTAL LOSS : 34939.732 , MEAN : 0.002 , STD : 1.493
-> EPOCH : 109 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33864.425 , KL LOSS : 30618.554 , TOTAL LOSS : 33864.425 , MEAN : 0.002 , STD : 1.492
-> EPOCH : 110 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33842.483 , KL LOSS : 39236.576 , TOTAL LOSS : 33842.483 , MEAN : 0.002 , STD : 1.493
-> EPOCH : 111 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34183.873 , KL LOSS : 42941.145 , TOTAL LOSS : 34183.873 , MEAN : 0.002 , STD : 1.491
-> EPOCH : 112 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33641.121 , KL LOSS : 44740.797 , TOTAL LOSS : 33641.121 , MEAN : 0.002 , STD : 1.488
-> EPOCH : 113 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 35069.081 , KL LOSS : 46916.835 , TOTAL LOSS : 35069.081 , MEAN : 0.002 , STD : 1.488
-> EPOCH : 114 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33876.534 , KL LOSS : 103047.806 , TOTAL LOSS : 33876.534 , MEAN : 0.002 , STD : 1.492
-> EPOCH : 115 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33288.689 , KL LOSS : 43821.360 , TOTAL LOSS : 33288.689 , MEAN : 0.002 , STD : 1.491
-> EPOCH : 116 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33256.704 , KL LOSS : 35240.457 , TOTAL LOSS : 33256.704 , MEAN : 0.002 , STD : 1.490
-> EPOCH : 117 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33141.873 , KL LOSS : 29796.185 , TOTAL LOSS : 33141.873 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 118 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 34293.184 , KL LOSS : 56171.874 , TOTAL LOSS : 34293.184 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 119 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33578.607 , KL LOSS : 54634.593 , TOTAL LOSS : 33578.607 , MEAN : 0.002 , STD : 1.489
-> EPOCH : 120 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33228.839 , KL LOSS : 52238.581 , TOTAL LOSS : 33228.839 , MEAN : 0.002 , STD : 1.490
-> EPOCH : 121 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32557.744 , KL LOSS : 37749.391 , TOTAL LOSS : 32557.744 , MEAN : 0.002 , STD : 1.488
-> EPOCH : 122 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33245.017 , KL LOSS : 25912.191 , TOTAL LOSS : 33245.017 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 123 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33599.808 , KL LOSS : 24625.356 , TOTAL LOSS : 33599.808 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 124 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32539.402 , KL LOSS : 26763.742 , TOTAL LOSS : 32539.402 , MEAN : 0.002 , STD : 1.488
-> EPOCH : 125 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32598.301 , KL LOSS : 35304.678 , TOTAL LOSS : 32598.301 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 126 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 33355.670 , KL LOSS : 53628.498 , TOTAL LOSS : 33355.670 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 127 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32985.060 , KL LOSS : 26709.723 , TOTAL LOSS : 32985.060 , MEAN : 0.002 , STD : 1.486
-> EPOCH : 128 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32816.424 , KL LOSS : 21302.503 , TOTAL LOSS : 32816.424 , MEAN : 0.002 , STD : 1.486
-> EPOCH : 129 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32701.692 , KL LOSS : 25676.426 , TOTAL LOSS : 32701.692 , MEAN : 0.002 , STD : 1.485
-> EPOCH : 130 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32639.403 , KL LOSS : 35768.375 , TOTAL LOSS : 32639.403 , MEAN : 0.002 , STD : 1.487
-> EPOCH : 131 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32226.417 , KL LOSS : 27387.911 , TOTAL LOSS : 32226.417 , MEAN : 0.002 , STD : 1.485
-> EPOCH : 132 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32081.261 , KL LOSS : 27040.623 , TOTAL LOSS : 32081.261 , MEAN : 0.002 , STD : 1.486
-> EPOCH : 133 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32581.725 , KL LOSS : 20581.351 , TOTAL LOSS : 32581.725 , MEAN : 0.002 , STD : 1.484
-> EPOCH : 134 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32543.421 , KL LOSS : 23729.936 , TOTAL LOSS : 32543.421 , MEAN : 0.002 , STD : 1.484
-> EPOCH : 135 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31862.079 , KL LOSS : 25243.371 , TOTAL LOSS : 31862.079 , MEAN : 0.002 , STD : 1.483
-> EPOCH : 136 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31480.470 , KL LOSS : 33031.555 , TOTAL LOSS : 31480.470 , MEAN : 0.002 , STD : 1.484
-> EPOCH : 137 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31554.118 , KL LOSS : 27113.438 , TOTAL LOSS : 31554.118 , MEAN : 0.002 , STD : 1.483
-> EPOCH : 138 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31254.275 , KL LOSS : 28480.030 , TOTAL LOSS : 31254.275 , MEAN : 0.002 , STD : 1.483
-> EPOCH : 139 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 32137.305 , KL LOSS : 46535.826 , TOTAL LOSS : 32137.305 , MEAN : 0.002 , STD : 1.483
-> EPOCH : 140 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31855.895 , KL LOSS : 29326.344 , TOTAL LOSS : 31855.895 , MEAN : 0.002 , STD : 1.481
-> EPOCH : 141 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31167.956 , KL LOSS : 33273.058 , TOTAL LOSS : 31167.956 , MEAN : 0.002 , STD : 1.483
-> EPOCH : 142 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 31385.077 , KL LOSS : 27042.530 , TOTAL LOSS : 31385.077 , MEAN : 0.002 , STD : 1.482
