-> EPOCH :  49 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.314 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  50 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.307 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  51 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.303 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  52 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.296 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  53 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.290 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  54 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.285 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  55 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.279 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  56 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.274 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  57 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.269 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  58 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.263 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  59 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.258 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  60 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.253 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  61 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.249 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  62 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.244 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  63 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.240 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  64 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.234 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  65 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.230 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  66 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.226 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  67 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.222 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  68 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.217 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  69 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.214 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  70 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.210 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  71 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.207 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  72 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.203 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  73 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.199 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  74 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.195 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  75 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.192 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  76 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.188 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  77 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.185 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  78 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.182 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  79 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.178 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  80 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.175 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  81 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.172 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  82 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.169 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  83 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.166 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  84 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.163 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  85 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.161 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  86 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.157 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  87 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.155 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  88 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.152 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  89 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.149 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  90 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.147 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  91 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.145 , MEAN : 0.000 , STD : 1.000
-> EPOCH :  92 , BETA VALUE : 0.000 , RECONSTRUCTION LOSS : 0.000 , KL LOSS : 0.000 , TOTAL LOSS : 0.142 , MEAN : 0.000 , STD : 1.000
